Date,Open,High,Low,Close,Adj Close,Volume
2020-12-02,40.470001,41.410000,40.299999,40.799999,38.354626,84347500
2020-12-03,40.980000,41.029999,39.520000,40.090000,37.687180,68570100
2020-12-04,39.889999,40.450001,39.889999,40.340000,37.922195,35368100
2020-12-07,40.660000,41.400002,40.369999,41.250000,38.777657,48253700
2020-12-08,41.400002,42.770000,41.349998,42.560001,40.009136,87039300
2020-12-09,43.070000,43.080002,41.130001,41.849998,39.341694,86118500
2020-12-10,41.820000,42.220001,41.450001,41.730000,39.228886,57749200
2020-12-11,41.970001,42.070000,40.689999,41.119999,38.655449,60737000
2020-12-14,41.619999,41.660000,39.070000,39.209999,36.859924,94809700
2020-12-15,39.060001,39.180000,38.209999,38.709999,36.389889,65712800
2020-12-16,38.180000,38.470001,37.740002,37.840000,35.572037,56515300
2020-12-17,37.830002,38.119999,37.310001,38.029999,35.750645,52036400
2020-12-18,37.990002,38.090000,37.500000,37.680000,35.421631,60259200
2020-12-21,37.279999,37.400002,36.910000,37.380001,35.139606,40891800
2020-12-22,37.209999,37.330002,36.599998,36.740002,34.537968,33634400
2020-12-23,37.009998,37.650002,36.880001,37.439999,35.196011,36182000
2020-12-24,37.400002,37.570000,37.180000,37.270000,35.036201,14790100
2020-12-28,37.360001,37.580002,36.680000,36.820000,34.613171,26993700
2020-12-29,36.900002,37.200001,36.790001,37.049999,34.829384,23152100
2020-12-30,37.029999,37.240002,36.700001,36.740002,34.537968,24889800
2020-12-31,36.660000,36.919998,36.290001,36.810001,34.603771,30796500
2021-01-04,36.869999,36.939999,36.270000,36.810001,34.603771,33565700
2021-01-05,36.720001,37.369999,36.599998,37.189999,34.960991,29909400
2021-01-06,36.830002,37.480000,36.770000,36.869999,34.660175,34962500
2021-01-07,37.040001,37.150002,36.669998,37.060001,34.838783,27809500
2021-01-08,37.160000,37.529999,36.900002,37.130001,34.904591,33462400
2021-01-11,37.220001,37.830002,37.150002,37.770000,35.506229,47286900
2021-01-12,37.700001,37.790001,36.820000,37.180000,34.951588,47831100
2021-01-13,37.000000,37.169998,36.639999,36.860001,34.650772,31027900
2021-01-14,36.779999,36.959999,36.610001,36.750000,34.547367,30272000
2021-01-15,36.680000,36.779999,36.400002,36.700001,34.500359,34287800
2021-01-19,36.759998,37.000000,36.619999,36.730000,34.528568,33451300
2021-01-20,36.790001,36.810001,36.459999,36.500000,34.312344,35400100
2021-01-21,36.389999,36.590000,36.150002,36.480000,34.293556,33829700
2021-01-22,36.320000,36.830002,36.250000,36.549999,34.359352,26271200
2021-01-25,36.549999,37.290001,36.320000,37.279999,35.045601,31728500
2021-01-26,37.270000,37.599998,37.160000,37.310001,35.073807,27718700
2021-01-27,36.990002,37.040001,36.169998,36.240002,34.067928,50561200
2021-01-28,35.950001,36.330002,35.840000,35.860001,34.077435,39466700
2021-01-29,36.880001,36.880001,35.619999,35.900002,34.115452,60251900
2021-02-01,35.930000,36.189999,35.720001,35.799999,34.020416,40395800
2021-02-02,35.759998,35.779999,34.270000,34.990002,33.250683,84062400
2021-02-03,34.990002,35.290001,34.779999,34.840000,33.108139,38524200
2021-02-04,34.810001,35.080002,34.700001,34.889999,33.155655,34284900
2021-02-05,34.919998,35.080002,34.779999,34.919998,33.184162,31749600
2021-02-08,34.959999,35.009998,34.740002,34.820000,33.089134,31633900
2021-02-09,34.799999,35.060001,34.759998,34.970001,33.231678,30170200
2021-02-10,35.000000,35.080002,34.700001,34.740002,33.013115,29039900
2021-02-11,34.799999,34.810001,34.279999,34.430000,32.718517,30885200
2021-02-12,34.439999,34.950001,34.360001,34.720001,32.994106,25578600
2021-02-16,34.849998,34.860001,34.560001,34.689999,32.965595,28730300
2021-02-17,34.570000,35.000000,34.459999,34.889999,33.155655,26389400
2021-02-18,34.779999,34.880001,34.520000,34.560001,32.842060,24052500
